feature_date,target_date,score,direction,confidence_status,weights,contributions,generated_at,feature_close,target_close,actual_return,actual_direction,hit,validated_at
2026-09-04,2026-09-07,64.81621324816467,Neutral,low_confidence,"{""night_futures_direction"":24.733784674823273,""us_market_direction"":27.64290195729071,""sox_tsm_adr_resonance"":26.190473157327233,""vix_risk_off"":21.43284021055878}","{""night_futures_direction"":{""signal"":1,""weight"":24.733784674823273,""weighted_vote"":24.733784674823273,""display_name"":""夜盤方向""},""us_market_direction"":{""signal"":-1,""weight"":27.64290195729071,""weighted_vote"":-27.64290195729071,""display_name"":""美國市場方向""},""sox_tsm_adr_resonance"":{""signal"":1,""weight"":26.190473157327233,""weighted_vote"":26.190473157327233,""display_name"":""SOX + TSM ADR 共振""},""vix_risk_off"":{""signal"":0,""weight"":21.43284021055878,""weighted_vote"":0.0,""display_name"":""VIX risk-off""}}",2026-09-06T11:04:55.002860Z,46551.13,47326.27,1.6651368076349593,Strong Bullish,,2026-09-12T04:17:12.932901Z
2026-09-07,2026-09-08,26.13043479692084,Neutral,low_confidence,"{""night_futures_direction"":24.980452344298786,""us_market_direction"":27.58997284701252,""sox_tsm_adr_resonance"":26.130434796920838,""vix_risk_off"":21.299140011767854}","{""night_futures_direction"":{""signal"":-1,""weight"":24.980452344298786,""weighted_vote"":-24.980452344298786,""display_name"":""夜盤方向""},""us_market_direction"":{""signal"":-1,""weight"":27.58997284701252,""weighted_vote"":-27.58997284701252,""display_name"":""美國市場方向""},""sox_tsm_adr_resonance"":{""signal"":1,""weight"":26.130434796920838,""weighted_vote"":26.130434796920838,""display_name"":""SOX + TSM ADR 共振""},""vix_risk_off"":{""signal"":-1,""weight"":21.299140011767854,""weighted_vote"":-21.299140011767854,""display_name"":""VIX risk-off""}}",2026-09-08T00:48:51.593188Z,47326.27,47105.78,-0.46589346677859966,Strong Bearish,,2026-09-12T04:17:12.932911Z
2026-09-11,2026-09-14,74.98664008309468,Neutral,low_confidence,"{""night_futures_direction"":25.01335991690532,""us_market_direction"":27.55700030854012,""sox_tsm_adr_resonance"":26.058689399828683,""vix_risk_off"":21.37095037472588}","{""night_futures_direction"":{""signal"":-1,""weight"":25.01335991690532,""weighted_vote"":-25.01335991690532,""display_name"":""夜盤方向""},""us_market_direction"":{""signal"":1,""weight"":27.55700030854012,""weighted_vote"":27.55700030854012,""display_name"":""美國市場方向""},""sox_tsm_adr_resonance"":{""signal"":1,""weight"":26.058689399828683,""weighted_vote"":26.058689399828683,""display_name"":""SOX + TSM ADR 共振""},""vix_risk_off"":{""signal"":1,""weight"":21.37095037472588,""weighted_vote"":21.37095037472588,""display_name"":""VIX risk-off""}}",2026-09-12T04:17:12.931867Z,46184.85,,,,,
